LSMS,MICS,IPUMS,DHS2
Sex,Yes/No/Don't Know,Household,Questions
Yes/No,Gender/Sex,Yes/No/Don't Know,Urban/Rural
Yes/No/Don't know,Relastionship to head of household,Sex,Relationship to household head
Frequency,Lives,Household Schedule,Sex
Satisfaction,Education,Relationship to head of household,Population
Distance,Dwelling Floor,Marital Status,Marital Status
Time,Roof Material,School level,Admin codes
Time unit,Exterior wall Material,Birth Registration,Admin Level
HOUSE ROSTER,Household items,Household Characteristics,Female total in Admin level
Part A: Household Roster,Household animals,Main sources of water,Male total in Admin level
Relationship to head,Cooking stove,Location,Alternative name for admin level
Marital Status,Cooking fuel,Methods to make drinking water safer,Another alternative name for admin level
Part C: Children of Household Members Who Are Living Elsewhere and Not Members of the Household ,Cooking location,Toilet facility in use,Religion
Place of residence,Space heating,Type of fuel,Source of livelihood
EDUCATION,Space heating fuel and energy source,Cooking location,Economic activity
Short Module (Education),Net source,Animals owned by household,Reason for economic inactivity
Type of school,Main source of drinking water,Household items,Type of residence
Part A: General Education ,Main source of water for household chores,Member items,State of dwelling
Literacy,Location,Frequency,Source of drinking water
Numeracy,Methods to make water safe,Mosquito nets,Source of water
School,Toilet facility,Observed/Not observed,Piped water types
Type of diploma attained,Frequency of emptying toilet facility,Mosquito net brand,Type of toilet
Major field of study in post-secondary education,Where was the toiley facility emptied to?,Which forum the net was gotten from,Type of toilet disposal
Successfully completed school,Sharing privately/publicly,Where the net was got,Type of Bathroom
Public/Private,Location of washing hands,Additional Household Characteristics,Type of Kitchen
Part B: Education in Last 12 Months ,Water availability,Location where hands are washed,Type of Lighting
Who paid educational expenses,Present/Not present,Available/Not available,Trash disposal
Mode of transportation,Salt test,Items used for washing hands,Dwelling Tenure
"Expanded Module, Additional Questions for Part B ",,Floor Material,Dwelling Type
Has a complete set of textbooks,,Roof Material,Walls major material
How textbooks obtained,,Wall Material,Ceiling major material
Textbooks shared ,,Salt used,Roof major material
Kind of meal received at school,,Woman,Floor major material 
Expenditure: Meal/snack - unit ,,Contraception,Types of disabilty
Part C: Apprenticeship and Training ,,Method of contraception,Cause of disability 
Ever been an apprentice ,,Medical Facility,Livestock
Ever received formal professional traini,,Source of contraception,Type of cooking fuel
Part D: Distances to Local Schools,,Pregnancy and postnatal care ,Lighting fuel
Type of school,,Health attendant,Duration of use
HEALTH,,Location of antenatal care,Main internet location
Short Module (Health),,Source of SP/Fansider,Household items
Health compared with 1 year ago ,,Size,Household crops
Diarrhoea treatment,,Vaccination card,Citizenship
Type of health insurance ,,Child Immunization(last birth),
Part A: Self Reported Health Status,,Oral polio vaccination,
Ability/Ease,,Child health and nutrition,
"Expanded Module, Additional Questions for Part A",,Quantity of milk,
Frequency,,Quantity of food,
Part B: Health Related Behaviors ,,Pill/Syrup treatment,
Still smokes,,Drugs,
Still chews tobacco ,,Duration,
Type of sports played,,Toilet disposal,
Respiration when playing sports,,Marriage and Sexual Activity,
Why plays sports,,Woman's marital status ofliving,
Sexually transmitted disease,,Woman's Living status,
Protection against sexually transmitted disease,,Once/More than once,
Part C: Child Immunization,,Woman's relationship to the last person one had sexual intercourse,
up to date,,Fertility Preferences,
Part D: Insurance Coverage ,,Preference to having more children,
Type of health insurance ,,How soon one wants to wait before the birth of another child,
amount code ,,Reasons why the respondent is not using a method to prevent pregnancy,
Part G: Directly Observed Activities of Daily Living ,,Decision maker on contraceptives,
Able to rotate shoulder ,,Partners decision on the number of kids,
Part H: Cognitive Functioning ,,Husband's background and woman's work,
Correct/Incorrect,,Person working for,
Present/Absent,,Period of working,
Part E: Detailed Utilization and Expenditure ,,Form of payment,
Health care provider,,Earning comparison between respondent and partner,
Purpose of the visit,,Decision maker ,
First visit/Follow up,,Ownership,
Treatment received,,HIV/AIDS,
Reason for hospitalization,,Places of taking the HIV/AIDS,
Type of hospital room ,,Other Health Issues,
Treatment received,,Frequency of smoking,
Health care facility,,Types of tobacco,
Employment,,Health Insurance,
Part A: Labor Force Participation ,,MAN,
All yes/All No,,Respondent Background,
Main reason for not working,,City/Town/Rural Area,
Main reason for not looking for work,,Literacy,
"Standard module, Part A: Labor Force Participation ",,Frequency,
Method used to find work,,Present/Not present,
Weeks looked for work all at once,,Health/Other,
"Expanded module, Part A: Labor Force Participation ",,Contraception,
Any yes or blank/All no,,Frequency of intake of fluids to be given during diarrhoea,
Main reason for not working 5 years ago ,,Modes of communication,
Part B: Overview of Work in Last 7 Days and Last 12 Months,,Likelihood period of a woman getting pregnant around her menstral periods,
Place and employer of work ,,Marriage and Sexual Activity,
Nb of activities in last 7 days ,,Man's marital status of living,
Part C: Main and Secondary Job in the Last 7 Days,,Man's Living status,
Place of work,,Man's relationship to the last person one had sexual intercourse,
